time,depth
01:02:00 01-Jan-2000,17.3
01:03:00 01-Jan-2000,16
01:04:00 01-Jan-2000,12.5
01:05:00 01-Jan-2000,18.7
01:06:00 01-Jan-2000,11.4
01:07:00 01-Jan-2000,16.7
01:08:00 01-Jan-2000,19.1
01:09:00 01-Jan-2000,10.8
01:10:00 01-Jan-2000,14.2
01:11:00 01-Jan-2000,15.7
01:12:00 01-Jan-2000,8.9
01:13:00 01-Jan-2000,15.6
01:14:00 01-Jan-2000,7.7
01:15:00 01-Jan-2000,13.6
01:16:00 01-Jan-2000,15.3
01:17:00 01-Jan-2000,21.5
01:18:00 01-Jan-2000,16.7
01:19:00 01-Jan-2000,5.9
01:20:00 01-Jan-2000,14.5
01:21:00 01-Jan-2000,4.6
01:22:00 01-Jan-2000,13.3
01:23:00 01-Jan-2000,11.6
01:24:00 01-Jan-2000,19.2
01:25:00 01-Jan-2000,16.6
01:26:00 01-Jan-2000,14.8
01:27:00 01-Jan-2000,7.1
01:28:00 01-Jan-2000,9.1
01:29:00 01-Jan-2000,4.6
01:30:00 01-Jan-2000,18.8
01:31:00 01-Jan-2000,12.5
01:32:00 01-Jan-2000,6.6
01:33:00 01-Jan-2000,19.3
01:34:00 01-Jan-2000,8.8
01:35:00 01-Jan-2000,13.5
01:36:00 01-Jan-2000,6.4
01:37:00 01-Jan-2000,12
01:38:00 01-Jan-2000,10
01:39:00 01-Jan-2000,14.6
01:40:00 01-Jan-2000,11.7
01:41:00 01-Jan-2000,10.3
01:42:00 01-Jan-2000,14.5
01:43:00 01-Jan-2000,12.6
01:44:00 01-Jan-2000,13
01:45:00 01-Jan-2000,10.8
01:46:00 01-Jan-2000,9.6
01:47:00 01-Jan-2000,11.1
01:48:00 01-Jan-2000,10.8
01:49:00 01-Jan-2000,13.3
01:50:00 01-Jan-2000,10.7
01:51:00 01-Jan-2000,11.4
01:52:00 01-Jan-2000,8.5
01:53:00 01-Jan-2000,12.3
01:54:00 01-Jan-2000,12.5
01:55:00 01-Jan-2000,11.7
01:56:00 01-Jan-2000,13.9
01:57:00 01-Jan-2000,14.5
01:58:00 01-Jan-2000,17.1
01:59:00 01-Jan-2000,10.5
02:00:00 01-Jan-2000,13.3
02:01:00 01-Jan-2000,13.8
02:02:00 01-Jan-2000,6.3
02:03:00 01-Jan-2000,10.9
02:04:00 01-Jan-2000,10
02:05:00 01-Jan-2000,13.4
02:06:00 01-Jan-2000,12.1
02:07:00 01-Jan-2000,13.3
02:08:00 01-Jan-2000,13.3
02:09:00 01-Jan-2000,19.2
02:10:00 01-Jan-2000,10.6
02:11:00 01-Jan-2000,11.4
02:12:00 01-Jan-2000,9.6
02:13:00 01-Jan-2000,12.7
02:14:00 01-Jan-2000,11.2
02:15:00 01-Jan-2000,8.5
02:16:00 01-Jan-2000,10.8
02:17:00 01-Jan-2000,8
02:18:00 01-Jan-2000,16.9
02:19:00 01-Jan-2000,10.6
02:20:00 01-Jan-2000,12.3
02:21:00 01-Jan-2000,19.6
02:22:00 01-Jan-2000,15
02:23:00 01-Jan-2000,14.3
02:24:00 01-Jan-2000,8
02:25:00 01-Jan-2000,9.1
02:26:00 01-Jan-2000,10
02:27:00 01-Jan-2000,13.1
02:28:00 01-Jan-2000,5.3
02:29:00 01-Jan-2000,7
02:30:00 01-Jan-2000,16.2
02:31:00 01-Jan-2000,9.9
02:32:00 01-Jan-2000,10.9
02:33:00 01-Jan-2000,13.4
02:34:00 01-Jan-2000,10.3
02:35:00 01-Jan-2000,17.1
02:36:00 01-Jan-2000,14
02:37:00 01-Jan-2000,13
02:38:00 01-Jan-2000,17.3
02:39:00 01-Jan-2000,13.1
02:40:00 01-Jan-2000,12.8
02:41:00 01-Jan-2000,10.6
02:42:00 01-Jan-2000,12.9
02:43:00 01-Jan-2000,11.8
02:44:00 01-Jan-2000,22
02:45:00 01-Jan-2000,11.3
02:46:00 01-Jan-2000,10.4
02:47:00 01-Jan-2000,14.4
02:48:00 01-Jan-2000,16.1
02:49:00 01-Jan-2000,9.8
02:50:00 01-Jan-2000,13.3
02:51:00 01-Jan-2000,6.6
02:52:00 01-Jan-2000,10.8
02:53:00 01-Jan-2000,13.7
02:54:00 01-Jan-2000,12.1
02:55:00 01-Jan-2000,10
02:56:00 01-Jan-2000,15.4
02:57:00 01-Jan-2000,8.5
02:58:00 01-Jan-2000,5.8
02:59:00 01-Jan-2000,14.2
03:00:00 01-Jan-2000,12.9
03:01:00 01-Jan-2000,18.1
03:02:00 01-Jan-2000,8.2
03:03:00 01-Jan-2000,5.4
03:04:00 01-Jan-2000,5.1
03:05:00 01-Jan-2000,16.8
03:06:00 01-Jan-2000,9.5
03:07:00 01-Jan-2000,15.9
03:08:00 01-Jan-2000,11.5
03:09:00 01-Jan-2000,6.9
03:10:00 01-Jan-2000,18.8
03:11:00 01-Jan-2000,9.4
03:12:00 01-Jan-2000,11
03:13:00 01-Jan-2000,22.8
03:14:00 01-Jan-2000,10.7
03:15:00 01-Jan-2000,10.5
03:16:00 01-Jan-2000,14.1
03:17:00 01-Jan-2000,13.7
03:18:00 01-Jan-2000,12.9
03:19:00 01-Jan-2000,8.4
03:20:00 01-Jan-2000,15.7
03:21:00 01-Jan-2000,8.1
03:22:00 01-Jan-2000,18.6
03:23:00 01-Jan-2000,16.3
03:24:00 01-Jan-2000,4.8
03:25:00 01-Jan-2000,11.7
03:26:00 01-Jan-2000,7.9
03:27:00 01-Jan-2000,14.3
03:28:00 01-Jan-2000,0
03:29:00 01-Jan-2000,12.3
03:30:00 01-Jan-2000,18.9
03:31:00 01-Jan-2000,14.3
03:32:00 01-Jan-2000,10.5
03:33:00 01-Jan-2000,15.8
03:34:00 01-Jan-2000,16.7
03:35:00 01-Jan-2000,8.2
03:36:00 01-Jan-2000,4.2
03:37:00 01-Jan-2000,7.8
03:38:00 01-Jan-2000,12.9
03:39:00 01-Jan-2000,8.8
03:40:00 01-Jan-2000,11.3
03:41:00 01-Jan-2000,8.2
03:42:00 01-Jan-2000,9.8
03:43:00 01-Jan-2000,16
03:44:00 01-Jan-2000,13.3
03:45:00 01-Jan-2000,21.7
03:46:00 01-Jan-2000,18.5
03:47:00 01-Jan-2000,10.3
03:48:00 01-Jan-2000,12.1
03:49:00 01-Jan-2000,11.6
03:50:00 01-Jan-2000,10.4
03:51:00 01-Jan-2000,8.5
03:52:00 01-Jan-2000,9.1
03:53:00 01-Jan-2000,7.5
03:54:00 01-Jan-2000,13
03:55:00 01-Jan-2000,10.1
03:56:00 01-Jan-2000,12.5
03:57:00 01-Jan-2000,15.7
03:58:00 01-Jan-2000,8.8
03:59:00 01-Jan-2000,19.1
04:00:00 01-Jan-2000,14.9
04:01:00 01-Jan-2000,4.5
04:02:00 01-Jan-2000,16.9
04:03:00 01-Jan-2000,7.5
04:04:00 01-Jan-2000,3.7
04:05:00 01-Jan-2000,12.5
04:06:00 01-Jan-2000,11.6
04:07:00 01-Jan-2000,15.8
04:08:00 01-Jan-2000,15.2
04:09:00 01-Jan-2000,8.9
04:10:00 01-Jan-2000,8.5
04:11:00 01-Jan-2000,11.8
04:12:00 01-Jan-2000,6.8
04:13:00 01-Jan-2000,11.1
04:14:00 01-Jan-2000,8.9
04:15:00 01-Jan-2000,16.1
04:16:00 01-Jan-2000,8.9
04:17:00 01-Jan-2000,14.2
04:18:00 01-Jan-2000,13.1
04:19:00 01-Jan-2000,10.5
04:20:00 01-Jan-2000,13.1
04:21:00 01-Jan-2000,11.7
04:22:00 01-Jan-2000,12.7
04:23:00 01-Jan-2000,10.4
04:24:00 01-Jan-2000,12.2
04:25:00 01-Jan-2000,15.2
04:26:00 01-Jan-2000,12
04:27:00 01-Jan-2000,12
04:28:00 01-Jan-2000,7.1
04:29:00 01-Jan-2000,13.2
04:30:00 01-Jan-2000,20.5
04:31:00 01-Jan-2000,12.5
04:32:00 01-Jan-2000,9.5
04:33:00 01-Jan-2000,18.8
04:34:00 01-Jan-2000,19.3
04:35:00 01-Jan-2000,6.6
04:36:00 01-Jan-2000,13.3
04:37:00 01-Jan-2000,14.2
04:38:00 01-Jan-2000,13
04:39:00 01-Jan-2000,13.8
04:40:00 01-Jan-2000,15.2
04:41:00 01-Jan-2000,13
04:42:00 01-Jan-2000,10.8
04:43:00 01-Jan-2000,11.1
04:44:00 01-Jan-2000,11.6
04:45:00 01-Jan-2000,5.2
04:46:00 01-Jan-2000,13.7
04:47:00 01-Jan-2000,12.4
04:48:00 01-Jan-2000,15.6
04:49:00 01-Jan-2000,14
04:50:00 01-Jan-2000,4.4
04:51:00 01-Jan-2000,10.6
04:52:00 01-Jan-2000,12
04:53:00 01-Jan-2000,14.6
04:54:00 01-Jan-2000,4.8
04:55:00 01-Jan-2000,0.9
04:56:00 01-Jan-2000,15.4
04:57:00 01-Jan-2000,20.8
04:58:00 01-Jan-2000,18.2
04:59:00 01-Jan-2000,6.7
05:00:00 01-Jan-2000,10.1
05:01:00 01-Jan-2000,15.2
05:02:00 01-Jan-2000,5.9
05:03:00 01-Jan-2000,14.7
05:04:00 01-Jan-2000,12
05:05:00 01-Jan-2000,12
05:06:00 01-Jan-2000,18.8
05:07:00 01-Jan-2000,7.7
05:08:00 01-Jan-2000,13.6
05:09:00 01-Jan-2000,15.7
05:10:00 01-Jan-2000,8.6
05:11:00 01-Jan-2000,8.7
05:12:00 01-Jan-2000,14.2
05:13:00 01-Jan-2000,9.2
05:14:00 01-Jan-2000,6.4
05:15:00 01-Jan-2000,5.5
05:16:00 01-Jan-2000,10.1
05:17:00 01-Jan-2000,12.1
05:18:00 01-Jan-2000,11.6
05:19:00 01-Jan-2000,20.5
05:20:00 01-Jan-2000,8.5
05:21:00 01-Jan-2000,18
05:22:00 01-Jan-2000,13.7
05:23:00 01-Jan-2000,10.9
05:24:00 01-Jan-2000,17.7
05:25:00 01-Jan-2000,15.8
05:26:00 01-Jan-2000,7.9
05:27:00 01-Jan-2000,5.6
05:28:00 01-Jan-2000,11.6
05:29:00 01-Jan-2000,11.8
05:30:00 01-Jan-2000,15.2
05:31:00 01-Jan-2000,11
05:32:00 01-Jan-2000,4.4
05:33:00 01-Jan-2000,16.6
05:34:00 01-Jan-2000,10
05:35:00 01-Jan-2000,10.5
05:36:00 01-Jan-2000,15.4
05:37:00 01-Jan-2000,8
05:38:00 01-Jan-2000,14.5
05:39:00 01-Jan-2000,8.7
05:40:00 01-Jan-2000,13.1
05:41:00 01-Jan-2000,4
05:42:00 01-Jan-2000,12.9
05:43:00 01-Jan-2000,10.7
05:44:00 01-Jan-2000,13.5
05:45:00 01-Jan-2000,7.5
05:46:00 01-Jan-2000,6.2
05:47:00 01-Jan-2000,10.6
05:48:00 01-Jan-2000,6.9
05:49:00 01-Jan-2000,15.4
05:50:00 01-Jan-2000,11.3
05:51:00 01-Jan-2000,16.8
05:52:00 01-Jan-2000,8.1
05:53:00 01-Jan-2000,6.9
05:54:00 01-Jan-2000,10.5
05:55:00 01-Jan-2000,13.1
05:56:00 01-Jan-2000,15.5
05:57:00 01-Jan-2000,17.8
05:58:00 01-Jan-2000,8.7
05:59:00 01-Jan-2000,12.2
06:00:00 01-Jan-2000,177.2
06:01:00 01-Jan-2000,180.9
06:02:00 01-Jan-2000,225.3
06:03:00 01-Jan-2000,232.8
06:04:00 01-Jan-2000,217
06:05:00 01-Jan-2000,231
06:06:00 01-Jan-2000,224.4
06:07:00 01-Jan-2000,223.3
06:08:00 01-Jan-2000,228.4
06:09:00 01-Jan-2000,219.7
06:10:00 01-Jan-2000,227.4
06:11:00 01-Jan-2000,223.7
06:12:00 01-Jan-2000,232.5
06:13:00 01-Jan-2000,229.9
06:14:00 01-Jan-2000,234.4
06:15:00 01-Jan-2000,229.9
06:16:00 01-Jan-2000,221.4
06:17:00 01-Jan-2000,229.7
06:18:00 01-Jan-2000,228
06:19:00 01-Jan-2000,233.5
06:20:00 01-Jan-2000,235.5
06:21:00 01-Jan-2000,233.1
06:22:00 01-Jan-2000,225.6
06:23:00 01-Jan-2000,220.6
06:24:00 01-Jan-2000,216.9
06:25:00 01-Jan-2000,234.8
06:26:00 01-Jan-2000,230.4
06:27:00 01-Jan-2000,220.2
06:28:00 01-Jan-2000,224.6
06:29:00 01-Jan-2000,219.9
06:30:00 01-Jan-2000,232.2
06:31:00 01-Jan-2000,229.9
06:32:00 01-Jan-2000,232.5
06:33:00 01-Jan-2000,232
06:34:00 01-Jan-2000,232
06:35:00 01-Jan-2000,231.1
06:36:00 01-Jan-2000,227.5
06:37:00 01-Jan-2000,221.1
06:38:00 01-Jan-2000,224.9
06:39:00 01-Jan-2000,224.2
06:40:00 01-Jan-2000,217.2
06:41:00 01-Jan-2000,236.1
06:42:00 01-Jan-2000,220.3
06:43:00 01-Jan-2000,223.9
06:44:00 01-Jan-2000,233.9
06:45:00 01-Jan-2000,228.7
06:46:00 01-Jan-2000,234.8
06:47:00 01-Jan-2000,233.8
06:48:00 01-Jan-2000,235.1
06:49:00 01-Jan-2000,227.2
06:50:00 01-Jan-2000,228.5
06:51:00 01-Jan-2000,223.3
06:52:00 01-Jan-2000,231.8
06:53:00 01-Jan-2000,229
06:54:00 01-Jan-2000,228.6
06:55:00 01-Jan-2000,223.5
06:56:00 01-Jan-2000,224.4
06:57:00 01-Jan-2000,228.4
06:58:00 01-Jan-2000,224.3
06:59:00 01-Jan-2000,220.5
07:00:00 01-Jan-2000,237
07:01:00 01-Jan-2000,226.1
07:02:00 01-Jan-2000,220.8
07:03:00 01-Jan-2000,218.9
07:04:00 01-Jan-2000,232.3
07:05:00 01-Jan-2000,230.7
07:06:00 01-Jan-2000,228.3
07:07:00 01-Jan-2000,235
07:08:00 01-Jan-2000,232
07:09:00 01-Jan-2000,236.3
07:10:00 01-Jan-2000,223.6
07:11:00 01-Jan-2000,230.5
07:12:00 01-Jan-2000,233
07:13:00 01-Jan-2000,234.8
07:14:00 01-Jan-2000,218
07:15:00 01-Jan-2000,223.7
07:16:00 01-Jan-2000,230.5
07:17:00 01-Jan-2000,221.1
07:18:00 01-Jan-2000,229
07:19:00 01-Jan-2000,227.5
07:20:00 01-Jan-2000,221.5
07:21:00 01-Jan-2000,224.9
07:22:00 01-Jan-2000,226.5
07:23:00 01-Jan-2000,229.9
07:24:00 01-Jan-2000,229.3
07:25:00 01-Jan-2000,234.8
07:26:00 01-Jan-2000,230.2
07:27:00 01-Jan-2000,221.9
07:28:00 01-Jan-2000,226.5
07:29:00 01-Jan-2000,226.7
07:30:00 01-Jan-2000,233.2
07:31:00 01-Jan-2000,224.2
07:32:00 01-Jan-2000,231.3
07:33:00 01-Jan-2000,232.5
07:34:00 01-Jan-2000,230.1
07:35:00 01-Jan-2000,229.8
07:36:00 01-Jan-2000,226.1
07:37:00 01-Jan-2000,220.3
07:38:00 01-Jan-2000,223.6
07:39:00 01-Jan-2000,222
07:40:00 01-Jan-2000,220.7
07:41:00 01-Jan-2000,232.2
07:42:00 01-Jan-2000,228.8
07:43:00 01-Jan-2000,227.6
07:44:00 01-Jan-2000,227
07:45:00 01-Jan-2000,236.6
07:46:00 01-Jan-2000,234.4
07:47:00 01-Jan-2000,227.5
07:48:00 01-Jan-2000,231.7
07:49:00 01-Jan-2000,231.5
07:50:00 01-Jan-2000,226.7
07:51:00 01-Jan-2000,226.1
07:52:00 01-Jan-2000,227.1
07:53:00 01-Jan-2000,228.1
07:54:00 01-Jan-2000,223.7
07:55:00 01-Jan-2000,231.3
07:56:00 01-Jan-2000,235.1
07:57:00 01-Jan-2000,229.7
07:58:00 01-Jan-2000,221.9
07:59:00 01-Jan-2000,215.8
08:00:00 01-Jan-2000,234.5
08:01:00 01-Jan-2000,228.8
08:02:00 01-Jan-2000,230.1
08:03:00 01-Jan-2000,238.4
08:04:00 01-Jan-2000,227.9
08:05:00 01-Jan-2000,223.3
08:06:00 01-Jan-2000,234.8
08:07:00 01-Jan-2000,219.5
08:08:00 01-Jan-2000,234
08:09:00 01-Jan-2000,218.9
08:10:00 01-Jan-2000,234.6
08:11:00 01-Jan-2000,226.2
08:12:00 01-Jan-2000,242.3
08:13:00 01-Jan-2000,231.6
08:14:00 01-Jan-2000,228.3
08:15:00 01-Jan-2000,229.9
08:16:00 01-Jan-2000,229.7
08:17:00 01-Jan-2000,226.5
08:18:00 01-Jan-2000,230.7
08:19:00 01-Jan-2000,232.4
08:20:00 01-Jan-2000,218.2
08:21:00 01-Jan-2000,218.5
08:22:00 01-Jan-2000,231.2
08:23:00 01-Jan-2000,231.9
08:24:00 01-Jan-2000,232.3
08:25:00 01-Jan-2000,233.3
08:26:00 01-Jan-2000,232.4
08:27:00 01-Jan-2000,233.4
08:28:00 01-Jan-2000,228.6
08:29:00 01-Jan-2000,221.7
08:30:00 01-Jan-2000,231.3
08:31:00 01-Jan-2000,237.4
08:32:00 01-Jan-2000,236
08:33:00 01-Jan-2000,227.3
08:34:00 01-Jan-2000,220.9
08:35:00 01-Jan-2000,229.7
08:36:00 01-Jan-2000,237.9
08:37:00 01-Jan-2000,238.2
08:38:00 01-Jan-2000,238.4
08:39:00 01-Jan-2000,235.6
08:40:00 01-Jan-2000,217.6
08:41:00 01-Jan-2000,229.4
08:42:00 01-Jan-2000,225.6
08:43:00 01-Jan-2000,221.5
08:44:00 01-Jan-2000,225.3
08:45:00 01-Jan-2000,223.7
08:46:00 01-Jan-2000,228.4
08:47:00 01-Jan-2000,232.8
08:48:00 01-Jan-2000,232.2
08:49:00 01-Jan-2000,235.1
08:50:00 01-Jan-2000,218.7
08:51:00 01-Jan-2000,228.3
08:52:00 01-Jan-2000,231.5
08:53:00 01-Jan-2000,225.1
08:54:00 01-Jan-2000,231.2
08:55:00 01-Jan-2000,228.4
08:56:00 01-Jan-2000,229.4
08:57:00 01-Jan-2000,223
08:58:00 01-Jan-2000,233.1
08:59:00 01-Jan-2000,223.5
09:00:00 01-Jan-2000,236.2
09:01:00 01-Jan-2000,239.8
09:02:00 01-Jan-2000,239.5
09:03:00 01-Jan-2000,229.4
09:04:00 01-Jan-2000,237.2
09:05:00 01-Jan-2000,234.7
09:06:00 01-Jan-2000,236.3
09:07:00 01-Jan-2000,239.1
09:08:00 01-Jan-2000,232.8
09:09:00 01-Jan-2000,227.4
09:10:00 01-Jan-2000,234.5
09:11:00 01-Jan-2000,241
09:12:00 01-Jan-2000,245.6
09:13:00 01-Jan-2000,231.7
09:14:00 01-Jan-2000,225.8
09:15:00 01-Jan-2000,236.6
09:16:00 01-Jan-2000,233.3
09:17:00 01-Jan-2000,237.5
09:18:00 01-Jan-2000,226.6
09:19:00 01-Jan-2000,238.5
09:20:00 01-Jan-2000,231.8
09:21:00 01-Jan-2000,240.4
09:22:00 01-Jan-2000,240.3
09:23:00 01-Jan-2000,233.3
09:24:00 01-Jan-2000,235.9
09:25:00 01-Jan-2000,233.1
09:26:00 01-Jan-2000,233.1
09:27:00 01-Jan-2000,234.8
09:28:00 01-Jan-2000,235.4
09:29:00 01-Jan-2000,222.5
09:30:00 01-Jan-2000,236.6
09:31:00 01-Jan-2000,230
09:32:00 01-Jan-2000,230.7
09:33:00 01-Jan-2000,246.3
09:34:00 01-Jan-2000,233.6
09:35:00 01-Jan-2000,237.9
09:36:00 01-Jan-2000,231.7
09:37:00 01-Jan-2000,235.2
09:38:00 01-Jan-2000,241.4
09:39:00 01-Jan-2000,240.6
09:40:00 01-Jan-2000,238.7
09:41:00 01-Jan-2000,241.3
09:42:00 01-Jan-2000,247.6
09:43:00 01-Jan-2000,226.3
09:44:00 01-Jan-2000,239.1
09:45:00 01-Jan-2000,226
09:46:00 01-Jan-2000,234.6
09:47:00 01-Jan-2000,238.4
09:48:00 01-Jan-2000,228.3
09:49:00 01-Jan-2000,236.9
09:50:00 01-Jan-2000,231.3
09:51:00 01-Jan-2000,237.1
09:52:00 01-Jan-2000,236.5
09:53:00 01-Jan-2000,228.5
09:54:00 01-Jan-2000,231.4
09:55:00 01-Jan-2000,238.8
09:56:00 01-Jan-2000,235.1
09:57:00 01-Jan-2000,234.7
09:58:00 01-Jan-2000,237.7
09:59:00 01-Jan-2000,243.2
10:00:00 01-Jan-2000,230.1
10:01:00 01-Jan-2000,239.6
10:02:00 01-Jan-2000,244.2
10:03:00 01-Jan-2000,241.8
10:04:00 01-Jan-2000,236.4
10:05:00 01-Jan-2000,235.6
10:06:00 01-Jan-2000,232.9
10:07:00 01-Jan-2000,244.3
10:08:00 01-Jan-2000,238.4
10:09:00 01-Jan-2000,243.3
10:10:00 01-Jan-2000,245.7
10:11:00 01-Jan-2000,239
10:12:00 01-Jan-2000,236.9
10:13:00 01-Jan-2000,236.6
10:14:00 01-Jan-2000,240.7
10:15:00 01-Jan-2000,243.5
10:16:00 01-Jan-2000,238.3
10:17:00 01-Jan-2000,242.2
10:18:00 01-Jan-2000,240.1
10:19:00 01-Jan-2000,233.4
10:20:00 01-Jan-2000,239.4
10:21:00 01-Jan-2000,238.7
10:22:00 01-Jan-2000,238.6
10:23:00 01-Jan-2000,239.7
10:24:00 01-Jan-2000,237.1
10:25:00 01-Jan-2000,235.5
10:26:00 01-Jan-2000,232
10:27:00 01-Jan-2000,239
10:28:00 01-Jan-2000,235.1
10:29:00 01-Jan-2000,234.8
10:30:00 01-Jan-2000,236.3
10:31:00 01-Jan-2000,237.1
10:32:00 01-Jan-2000,244.9
10:33:00 01-Jan-2000,246
10:34:00 01-Jan-2000,230.1
10:35:00 01-Jan-2000,233.5
10:36:00 01-Jan-2000,239.5
10:37:00 01-Jan-2000,246.9
10:38:00 01-Jan-2000,239.3
10:39:00 01-Jan-2000,241.6
10:40:00 01-Jan-2000,238.8
10:41:00 01-Jan-2000,239
10:42:00 01-Jan-2000,242.3
10:43:00 01-Jan-2000,240.2
10:44:00 01-Jan-2000,242.1
10:45:00 01-Jan-2000,235.2
10:46:00 01-Jan-2000,245.3
10:47:00 01-Jan-2000,236.5
10:48:00 01-Jan-2000,241.4
10:49:00 01-Jan-2000,236
10:50:00 01-Jan-2000,239.6
10:51:00 01-Jan-2000,228.5
10:52:00 01-Jan-2000,225.1
10:53:00 01-Jan-2000,234.4
10:54:00 01-Jan-2000,234.6
10:55:00 01-Jan-2000,239.8
10:56:00 01-Jan-2000,233.8
10:57:00 01-Jan-2000,239.9
10:58:00 01-Jan-2000,247.3
10:59:00 01-Jan-2000,232.6
11:00:00 01-Jan-2000,242.5
11:01:00 01-Jan-2000,243.3
11:02:00 01-Jan-2000,237.2
11:03:00 01-Jan-2000,245.8
11:04:00 01-Jan-2000,246.1
11:05:00 01-Jan-2000,242.5
11:06:00 01-Jan-2000,236.9
11:07:00 01-Jan-2000,242.7
11:08:00 01-Jan-2000,244.8
11:09:00 01-Jan-2000,242.4
11:10:00 01-Jan-2000,250.1
11:11:00 01-Jan-2000,241.7
11:12:00 01-Jan-2000,234
11:13:00 01-Jan-2000,247.6
11:14:00 01-Jan-2000,245.7
11:15:00 01-Jan-2000,243.5
11:16:00 01-Jan-2000,238.4
11:17:00 01-Jan-2000,244.7
11:18:00 01-Jan-2000,238.7
11:19:00 01-Jan-2000,239.8
11:20:00 01-Jan-2000,246.7
11:21:00 01-Jan-2000,257.3
11:22:00 01-Jan-2000,240.2
11:23:00 01-Jan-2000,237.6
11:24:00 01-Jan-2000,242.9
11:25:00 01-Jan-2000,255.3
11:26:00 01-Jan-2000,228.5
11:27:00 01-Jan-2000,246.3
11:28:00 01-Jan-2000,245.8
11:29:00 01-Jan-2000,244.6
11:30:00 01-Jan-2000,244.9
11:31:00 01-Jan-2000,242.1
11:32:00 01-Jan-2000,235.3
11:33:00 01-Jan-2000,240.5
11:34:00 01-Jan-2000,233.5
11:35:00 01-Jan-2000,232.2
11:36:00 01-Jan-2000,243.2
11:37:00 01-Jan-2000,243.7
11:38:00 01-Jan-2000,235.3
11:39:00 01-Jan-2000,237.4
11:40:00 01-Jan-2000,244.4
11:41:00 01-Jan-2000,247.9
11:42:00 01-Jan-2000,240.8
11:43:00 01-Jan-2000,236
11:44:00 01-Jan-2000,236.1
11:45:00 01-Jan-2000,248.3
11:46:00 01-Jan-2000,237.9
11:47:00 01-Jan-2000,241.6
11:48:00 01-Jan-2000,243.7
11:49:00 01-Jan-2000,229.1
11:50:00 01-Jan-2000,235.8
11:51:00 01-Jan-2000,243.9
11:52:00 01-Jan-2000,247.4
11:53:00 01-Jan-2000,241.9
11:54:00 01-Jan-2000,248.4
11:55:00 01-Jan-2000,242.8
11:56:00 01-Jan-2000,238.8
11:57:00 01-Jan-2000,243.7
11:58:00 01-Jan-2000,231.2
11:59:00 01-Jan-2000,240.1
12:00:00 01-Jan-2000,243.6
12:01:00 01-Jan-2000,246.1
12:02:00 01-Jan-2000,244
12:03:00 01-Jan-2000,248
12:04:00 01-Jan-2000,247.3
12:05:00 01-Jan-2000,242.2
12:06:00 01-Jan-2000,246.3
12:07:00 01-Jan-2000,251.4
12:08:00 01-Jan-2000,237
12:09:00 01-Jan-2000,238.2
12:10:00 01-Jan-2000,248.1
12:11:00 01-Jan-2000,243.8
12:12:00 01-Jan-2000,250.4
12:13:00 01-Jan-2000,239.2
12:14:00 01-Jan-2000,238.1
12:15:00 01-Jan-2000,249
12:16:00 01-Jan-2000,247.6
12:17:00 01-Jan-2000,241.3
12:18:00 01-Jan-2000,246.7
12:19:00 01-Jan-2000,244.7
12:20:00 01-Jan-2000,241
12:21:00 01-Jan-2000,246.9
12:22:00 01-Jan-2000,243.3
12:23:00 01-Jan-2000,252.3
